Date,Brent Crude (USD),WTI Crude (USD),Natural Gas Prices (USD)
11/1/19,60.17,56.04,2.54
11/4/19,62.52,56.33,2.77
11/5/19,62.72,57.04,2.77
11/6/19,62.11,56.15,2.82
11/7/19,62.6,56.91,2.84
11/8/19,62.0,57.02,2.87
11/12/19,62.19,56.67,2.72
11/13/19,62.27,56.88,2.66
11/14/19,62.46,56.57,2.68
11/15/19,63.32,57.54,2.7
11/18/19,62.82,56.82,2.64
11/19/19,62.37,54.93,2.53
11/20/19,63.8,56.71,2.56
11/21/19,64.99,58.36,2.53
11/22/19,64.83,57.68,2.62
11/25/19,64.67,57.79,2.51
11/26/19,64.82,58.25,2.51
11/27/19,65.03,58.12,2.46
11/29/19,64.5,58.12,2.46
12/2/19,63.2,55.97,2.29
12/3/19,62.95,56.15,2.42
12/4/19,65.25,58.46,2.43
12/5/19,65.67,58.42,2.42
12/6/19,66.5,59.2,2.31
12/9/19,66.44,58.99,2.17
12/10/19,66.57,59.22,2.18
12/11/19,65.37,58.74,2.28
12/12/19,66.67,59.18,2.28
12/13/19,67.44,60.11,2.28
12/16/19,68.04,60.21,2.34
12/17/19,68.99,60.88,2.3
12/18/19,69.12,60.93,2.26
12/19/19,69.7,61.3,2.21
12/20/19,68.66,60.43,2.27
12/23/19,67.49,60.51,2.17
12/24/19,69.26,61.17,2.11
12/26/19,69.26,61.72,2.09
12/27/19,68.91,61.76,1.75
12/30/19,68.3,61.66,2.06
12/31/19,67.77,61.14,2.09
1/2/20,67.05,61.17,2.05
1/3/20,69.08,63.0,2.06
1/6/20,70.25,63.27,2.1
1/7/20,68.74,62.7,2.17
1/8/20,67.31,59.65,2.09
1/9/20,66.58,59.56,2.05
1/10/20,66.77,59.02,2.05
1/13/20,64.14,58.17,2.03
1/14/20,64.45,58.34,2.15
1/15/20,63.29,57.86,2.01
1/16/20,64.63,58.52,2.06
1/17/20,64.05,58.55,2.07
1/21/20,63.66,58.25,1.98
1/22/20,62.11,56.76,1.89
1/23/20,61.26,55.51,1.95
1/24/20,59.34,54.09,1.91
1/27/20,58.54,53.09,2.03
1/28/20,59.37,53.33,1.96
1/29/20,59.46,53.29,1.93
1/30/20,57.72,52.19,1.94
1/31/20,57.77,51.58,1.91
2/3/20,54.0,50.06,1.9
2/4/20,53.9,49.59,1.89
2/5/20,55.36,50.87,1.89
2/6/20,55.18,50.94,1.86
2/7/20,54.53,50.34,1.93
2/10/20,53.39,49.59,1.85
2/11/20,54.0,50.0,1.85
2/12/20,55.54,51.13,1.91
2/13/20,56.34,51.41,1.95
2/14/20,57.37,52.03,1.93
2/18/20,57.35,52.1,2.04
2/19/20,59.72,53.31,2.01
2/20/20,59.72,53.77,1.98
2/21/20,58.6,53.36,1.96
2/24/20,56.04,51.36,1.94
2/25/20,56.71,49.78,1.93
2/26/20,54.96,48.67,1.96
2/27/20,52.19,47.17,1.78
2/28/20,51.31,44.83,1.79
3/2/20,52.52,46.78,1.75
3/3/20,52.24,47.27,1.78
3/4/20,51.86,46.78,1.83
3/5/20,51.29,45.9,1.89
3/6/20,45.6,45.9,1.76
3/9/20,35.33,31.05,1.74
3/10/20,36.66,34.47,1.91
3/11/20,34.45,33.13,1.96
3/12/20,31.05,31.56,1.82
3/13/20,33.0,31.72,1.94
3/16/20,28.04,28.96,1.89
3/17/20,28.04,28.96,1.89
3/18/20,26.93,26.96,1.73
3/19/20,23.3,20.48,1.68
3/20/20,25.4,25.09,1.76
3/23/20,25.06,19.48,1.7
3/24/20,23.75,23.33,1.73
3/25/20,25.62,20.75,1.8
3/26/20,23.55,16.6,1.73
3/27/20,22.39,15.48,1.7
3/30/20,19.07,14.1,1.65
3/31/20,19.19,20.51,1.71
4/1/20,14.97,20.28,1.69
4/2/20,20.24,25.18,1.55
4/3/20,24.33,28.36,1.5
4/6/20,22.58,26.21,1.64
4/7/20,22.1,23.54,1.83
4/8/20,25.22,24.97,1.86
4/9/20,20.23,22.9,1.74
4/14/20,21.74,20.15,1.76
4/15/20,19.8,19.96,1.68
4/16/20,18.69,19.82,1.59
4/17/20,19.75,18.31,1.71
4/20/20,17.36,-36.98,1.78
4/21/20,9.12,8.91,1.92
